control,question,answer
ISM-1795,What is the length requirement for credentials?,The length requirement for credentials is at least 30 characters ISM-1795
ISM-1796,	What is digital signing in secure software design and development?,Digital Signing is used to verify the authenticity of files containing executable content during the process of application development ISM-1796
ISM-1796,What does digitally signing mean? ,"It means creating and verifying digital signatures for files, which ensures their authenticity - ISM-1796"
ISM-1797,What does digitally signing mean? ,It means that software developers use digital signatures to verify their identity when they release new versions of applications - ISM-1797
ISM-1798,	What are some secure coding practices during the software development process?,"Some secure coding practices include using strong passwords, encrypting data in transit, ensuring proper authentication mechanisms, and implementing regular vulnerability scans ISM-1798"
ISM-1799,	What does ISM-1799 mean in email gateways and servers?,"	ISM-1799 refers to domain based message authentication, reporting and conformance. ISM-1799"
ISM-1800,What does it mean when network devices are flashed?,"When network devices are flashed, this means that their operating system or software has been updated and installed on them, usually by using specialized hardware called a flashing device ISM-1800"
ISM-1800,How can you ensure your network device has been configured correctly?,You can check if it's working as expected by running some tests on it ISM-1800
ISM-1801,What does it mean when network devices are restarted?,"When network devices are restarted, they are shut down and then started again. This process can be done manually or automatically by software. ISM-1801"
ISM-1801,How often should you restart your network device?,You should restart your network device every week or so ISM-1801
ISM-1803,	What are some examples of cybersecurity threats?,"Examples of cybersecurity threats include malware attacks, phishing scams, ransomware, denial of service (DoS) attacks, data breaches, identity theft, social engineering, and more. ISM-1803"
ISM-1803,What are some of the types of data contained within a cybersecurity incident report?,"The type of data included in a cybersecurity incident report includes the date and time, location, severity level, impact on business operations, affected systems or devices, and any other relevant details about the incident ISM-1803"
ISM-1805,How to identify signs of a denial-of-service attack?,"Signs of a denial-of-service attack include slowness in accessing data or applications, frequent disconnections from network resources, loss of connectivity with remote devices, and difficulty connecting to websites ISM-1805"
ISM-1806,"What happens when default accounts or credentials for user applications, including for any pre-configured accounts, are changed?","When default accounts or credentials for user applications, including for any pre-configured accounts, are changed, it may result in loss of access and functionality ISM-1806"
ISM-1807,	What are some methods of system patching?,Some methods of system patching include: ISM-1807
ISM-1807,What is an automated method of asset discovery?,An automated method of asset discovery is used at least fortnightly to support the detection of assets for subsequent vulnerability scanning activities ISM-1807
ISM-1808,	What are some best practices for system patching?,"	Some best practices for system patching include using automated tools such as vulnerability management systems, configuring automatic update settings on operating systems, ensuring all software has been updated before deployment, and having regular audits performed by IT professionals ISM-1808"
ISM-1808,What are some of the benefits of using a vulnerability scanner?,"Vulnerability scanners can help identify security issues and provide recommendations on how to fix them, which helps reduce risk exposure. ISM-1808"
